CustomerNumber,NoteDate,Subject,Note,RelatedTo,Type
16828,2016-01-27T14:09:29,Added by Kristin Crocker,CustomSpring2016 - process charge for spring 6 pack to Sheryl. Kitt Hamar is going to pay for spring 6 pack - note in loving memory of Jim Love Kitt & John,Contact,Note
2722,2016-02-17T13:42:58,Added by Kristin Crocker,CustomSpring2016 - option #1 +$5 ship,Contact,Note
3050,2016-02-18T09:06:51,Added by Kristin Crocker,CustomSpring2016 - Option #1 Double +$5 ship,Contact,Note
3184,2016-02-18T09:11:28,Added by Kristin Crocker,CustomSpring2016 - Option #3 case 2012 + $5 ship,Contact,Note
11869,2016-02-18T09:32:26,Added by Kristin Crocker,CustomSpring2016 - add 48 bottles 2013 splits $180 each 24 pk + $10 ship,Contact,Note
3553,2016-02-18T13:34:32,Added by Kristin Crocker,CustomSpring2016 - Option #1 double + $5 ship - $15 credit from survey,Contact,Note
14452,2016-02-18T13:40:55,Added by Kristin Crocker,CustomSpring2016 - Option #1 double +$5 ship,Contact,Note
10829,2016-02-19T08:55:04,Added by Kristin Crocker,CustomSpring2016 - Option #3 case 12 Noceto + $5 ship,Contact,Note
8531,2016-02-19T12:45:40,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage for pick up,Contact,Note
2168,2016-02-19T12:51:40,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage said really interested in AX-1 + Option #3 case of 12 Noceto + $10 ship,Contact,Note
2601,2016-02-20T10:16:53,Added by Suzy Gullett,CustomSpring2016 - option #1 double 6-pack,Contact,Note
9677,2016-02-18T14:54:45,Added by Suzy Gullett,CustomSpring2016 - add 2 x option #3 (2 cases 2012 SG @ $162/case) + 3 cases 2013 splits @ $90/case,Contact,Note
3761,2015-12-28T10:06:12,Added by Suzy Gullett,CustomAlways 2 cases,Contact,Note
3487,2015-10-16T13:12:41,Added by Suzy Gullett,SHCharge2015: Charge and ship April 1 2016,Contact,Note
3311,2015-10-26T14:10:03,Added by Suzy Gullett,skip fall 2016 (was going to cancel for a few years until I gave her vacation option),Contact,Note
2804,2016-02-10T12:17:33,Added by Suzy Gullett,ShipDateSpring2016 - ship 3/14/2016,Contact,Note
13726,2016-01-06T10:54:57,Added by Kristin Crocker,POP - does not want to give cc said compromised every time she uses at winery will come up and pay. I said I would invoice and we ask that it is paid within a few weeks of release. ,Contact,Note
2997,2016-02-12T13:37:50,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage Pack + $5 ship,Contact,Note
13260,2016-02-12T14:03:11,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage pack - $15 survey discount,Contact,Note
10838,2016-02-16T13:52:45,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage + $5 ship,Contact,Note
19491,2016-02-17T10:24:38,Added by Kristin Crocker,SHSpring2016 - club member just signed up and got last years spring 6 pack does not want this years so placed on hold until after club processing,Contact,Note
11759,2016-02-17T13:35:26,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage pack + $5 ship,Contact,Note
7426,2016-02-24T21:15:48,Added by Suzy Gullett,CustomAlways - ShipTemp - Sign Some Bottles - always looking for a deal agreed 2-24-16 that he would get no special deal on shipping fall case but that we would talk in fall to determine which of 3 wines - SG Rosso or Riserva -- for fall club case he understands that he will only get 15% on additional orders,Contact,Note
3207,2016-05-28T17:25:07,Added by Suzy Gullett,Retiired,Contact,Note
9378,2016-05-30T14:23:41,Added by Suzy Gullett,SHShip ShipTemp -- Waiting for TX shipping address; Ship end-October,Contact,Note
1674,2016-02-03T15:24:52,Added by Suzy Gullett,CustomSpring2016 - Add case 2013 SG at $162 plus $5 shipping (Suzy's fault for selling at $162 should have been $172.80),Contact,Note
3765,2014-10-03T10:08:46,Added by Suzy Gullett,Quit due to allergy to wine,Contact,Note
2719,2014-10-04T15:17:23,Added by Suzy Gullett,moving to Toronto Canada,Contact,Note
10500,2014-09-23T08:19:31,Added by Suzy Gullett,Too many clubs -- too much wine,Contact,Note
3090,2014-08-01T10:07:56,Added by Suzy Gullett,Husband retiring limited finances,Contact,Note
2862,2015-01-17T22:36:28,Added by Suzy Gullett,BN cancelled by office after missing spring & fall 2014,Contact,Note
10020,2015-01-17T22:37:21,Added by Suzy Gullett,BN cancelled by office after missing spring and fall 2014,Contact,Note
7319,2015-01-17T22:37:52,Added by Suzy Gullett,BN cancelled by office after missing spring and fall 2014,Contact,Note
3344,2015-01-17T22:38:51,Added by Suzy Gullett,LN cancelled by office after missing fall 2013 & fall 2014,Contact,Note
11899,2015-01-17T22:45:20,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
1645,2015-01-17T22:51:46,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
1695,2015-01-17T22:53:34,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
1852,2015-01-17T22:54:35,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
1867,2015-01-17T22:55:39,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
13903,2015-01-17T22:58:25,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
13942,2015-01-17T23:00:04,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
12853,2015-01-17T23:00:59,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
6467,2015-01-17T23:02:31,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
12640,2015-01-17T23:03:53,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
3385,2015-01-17T23:04:34,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
3491,2015-01-17T23:06:12,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
13347,2015-01-17T23:07:07,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
8293,2015-01-17T23:08:03,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
14927,2015-01-17T23:09:01,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
11832,2015-01-17T23:09:58,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
11525,2015-01-17T23:10:54,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
13423,2015-01-17T23:12:18,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
12418,2015-01-17T23:13:12,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
11006,2015-01-17T23:15:27,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
3776,2015-01-17T23:16:16,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
14875,2015-01-17T23:17:14,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
12869,2015-01-17T23:18:11,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
12415,2015-01-17T23:19:07,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
3608,2015-01-17T23:20:05,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
10545,2015-01-17T23:21:11,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
11192,2015-01-17T23:22:07,Added by Suzy Gullett,FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
1126,2016-05-08T17:22:54,Added by Suzy Gullett,CustomSpringAlways: Sub out Misto for another red (will need to ask which one),Contact,Note
3398,2014-11-13T16:40:37,Added by Suzy Gullett,cancelled for personal reasons (loves our wine),Contact,Note
10964,2014-07-25T10:48:36,Added by Suzy Gullett,too much wine in the cellar hopes to rejoin in the future,Contact,Note
2555,2014-03-18T18:36:42,Added by Suzy Gullett,Cancelled -- getting old (93) but loves our wine!,Contact,Note
3348,2014-04-17T16:52:13,Added by Suzy Gullett,Gary passed away fall 2013,Contact,Note
9941,2014-01-04T11:47:10,Added by Suzy Gullett,cancelled -- too big a commitment,Contact,Note
1192,2013-11-06T18:11:39,Added by Suzy Gullett,Works at Story -- IW discount,Contact,Note
8917,2014-03-16T15:13:49,Added by Suzy Gullett,Loves our wine hopes to rejoin but business slow right now,Contact,Note
14929,2013-12-03T16:13:18,Added by Suzy Gullett,ship via AmadorShipping,Contact,Note
8256,2013-12-03T22:43:50,Added by Suzy Gullett,Ship to OH this year only then back to regular address,Contact,Note
10556,2013-12-05T23:56:06,Added by Suzy Gullett,Did not want to cancel but rather go on vacation for a year,Contact,Note
13222,2013-12-07T14:03:56,Added by Suzy Gullett,Did not realize he was signing up for an annual club commitment (signed up at Best of Sac),Contact,Note
12183,2014-01-02T08:53:09,Added by Suzy Gullett,cancelled for health reasons (on medication and doesn't know how long),Contact,Note
3009,2013-10-18T16:42:16,Added by Suzy Gullett,Cancelled Big Nut -- diagnosed with lung cancer this past July,Contact,Note
10952,2013-09-03T20:17:42,Added by Suzy Gullett,Joe cancelled BN -- he will purchase through Cheryl,Contact,Note
10138,2013-10-07T21:47:09,Added by Suzy Gullett,LN Membership listed under parents' name (Beth and Bob Schreiner),Contact,Note
16503,2015-03-13T23:36:39,Added by Suzy Gullett,OrderAdd,Contact,Note
16980,2015-02-04T14:37:33,Added by Suzy Gullett,oops! put into wrong club,Contact,Note
1921,2014-11-24T16:03:42,Added by Suzy Gullett,Cancelled -- love the wine but can't drink anymore,Contact,Note
12921,2014-12-09T21:01:31,Added by Suzy Gullett,Cancelled March 2014. We refunded 2013 Frivolo but forgot to cancel membership.,Contact,Note
16457,2015-01-22T18:49:42,Added by Suzy Gullett,Deleted -- duplicate membership in error,Contact,Note
14466,2015-04-07T15:45:09,Added by Suzy Gullett,says he got the wine for $120 at Total Wine -- so why should he drive up here and pay more?,Contact,Note
3201,2015-07-06T18:04:38,Added by Suzy Gullett,He says it's too hot in TX to drink our wines (though he does like them),Contact,Note
15061,2015-07-29T08:41:08,Added by Suzy Gullett,Loves our wine but drinking too much,Contact,Note
2771,2015-05-29T18:05:42,Added by Suzy Gullett,CustomSpring LN: Spring 6-pack + 6 Frivolo in spring only,Contact,Note
10192,2015-01-07T18:03:49,Added by Suzy Gullett,Moving to Boise ID,Contact,Note
13147,2015-01-09T17:06:44,Added by Suzy Gullett,Evidently we forgot to cancel last year when she notified us to cancel due to husband being in AA; I am refunding in full and letting her keep the wine if she so chooses,Contact,Note
20194,2016-06-14T16:30:58,Added by Jenny Ginsburg,CustomFallAlways -  6 Sangio & 6 Rosso in Fall,Contact,Note
11413,2016-06-14T15:26:48,Added by Jenny Ginsburg,CustomFallAlways - Rosso in Fall,Contact,Note
20176,2016-06-14T15:36:27,Added by Jenny Ginsburg,CustomAlwaysFall - 4 bottles each Rosso Originale Riserva in Fall,Contact,Note
20173,2016-06-14T16:01:13,Added by Jenny Ginsburg,CustomFallAlways -  Rosso in Fall,Contact,Note
1030,2015-10-21T14:01:42,Added by Anamieke Kegge,CustomAlways gets Spring BN 6 pack not Fall case Qualifies for 15% discount year-round,Contact,Note
2847,2015-10-21T14:02:10,Added by Anamieke Kegge,CustomAlways gets Spring BN 6 pack not Fall case Qualifies for 15% discount year-round,Contact,Note
13798,2015-10-21T14:00:25,Added by Kristin Crocker,ShipTemp,Contact,Note
12936,2015-10-21T14:02:59,Added by Kristin Crocker,CustomAlwaysFall - 2 cases 375's,Contact,Note
14847,2015-10-21T14:03:34,Added by Kristin Crocker,CustomAlwaysFall - 2 cases 375's,Contact,Note
11668,2015-10-21T13:14:18,Added by Kristin Crocker,CustomAlwaysFall - 2 cases 375's,Contact,Note
2280,2015-10-21T13:14:42,Added by Kristin Crocker,CustomAlwaysFall - 3 cases 750's each year,Contact,Note
3969,2016-02-15T15:57:20,Added by Kristin Crocker,CustomAlwaysFall - Riserva instead of SG,Contact,Note
2880,2015-08-13T11:38:25,Added by Kristin Crocker,CustomAlwaysFall - Riserva instead of SG,Contact,Note
2107,2015-09-16T13:49:14,Added by Kristin Crocker,ShipDateAlways ShipTemp Ship mid November each year always out of town until about 11-5 ,Contact,Note
2197,2015-08-12T12:09:27,Added by Kristin Crocker,SHAlways sign a bottle,Contact,Note
2762,2016-02-12T14:14:38,Added by Kristin Crocker,CustomAlwaysFall - ShipTemp -only 6 bottles in Fall until she catches up ,Contact,Note
12307,2015-08-14T09:35:58,Added by Kristin Crocker,GiftMembership: Heidi to Rob,Contact,Note
2070,2015-12-18T11:14:07,Added by Kristin Crocker,PoP CustomAlways create custom order that will be pending since no card on file (use fake cc) request check payment if longer than 1 week from release mail invoice. She wants 3 cases of Frivolo Every Year,Contact,Note
3624,2015-11-17T11:07:26,Added by Kristin Crocker,CustomFrivolo2015 -  2 cases Frivolo this year,Contact,Note
17946,2015-10-21T13:37:41,Added by Kristin Crocker,ShipTemp ,Contact,Note
15119,2015-12-18T11:16:12,Added by Kristin Crocker,SHChargeAlways create custom order that will be pending since no card on file (use fake cc) mail invoice he is very self-conscious about his credit card info and would rather call to have his info charged instead of keeping it on file he said he likes to have a conversation. Likes the OGP also like the 2010 a little on the sweeter side ,Contact,Note
16464,2015-10-21T13:52:26,Added by Kristin Crocker,ShipTemp,Contact,Note
16463,2015-10-21T13:54:43,Added by Kristin Crocker,ShipTemp,Contact,Note
15732,2016-02-22T08:45:20,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage pack + $10 Amador Ship shipping balance Noceto to pay to AS - ShipTemp,Contact,Note
2820,2015-10-21T13:39:33,Added by Kristin Crocker,ShipTemp,Contact,Note
2495,2015-10-21T13:25:40,Added by Kristin Crocker,ShipTemp   ,Contact,Note
1648,2015-10-21T13:39:55,Added by Kristin Crocker,ShipTemp,Contact,Note
15137,2015-09-11T10:57:38,Added by Kristin Crocker,ShipTemp,Contact,Note
9001,2016-02-26T12:47:28,Added by Kristin Crocker,SHShipFall2016 - confirm address moving soon,Contact,Note
2653,2016-02-12T14:13:36,Added by Kristin Crocker,IW - CustomAlwaysFall - (only want 1/2-case SG in fall),Contact,Note
14439,2015-10-21T13:54:12,Added by Kristin Crocker,ShipTemp,Contact,Note
15068,2016-02-15T15:58:30,Added by Kristin Crocker,GiftMembership - ShipTemp - by Jane Dougs Wife,Contact,Note
3635,2015-08-13T13:04:41,Added by Kristin Crocker,ShChargeAlways SHShipAlways charg and ship March 1 EVERY YEAR,Contact,Note
11451,2015-10-21T14:08:17,Added by Kristin Crocker,Giftmembership for Michaels wife,Contact,Note
1514,2015-10-21T13:41:48,Added by Kristin Crocker,CustomFallAlways - 6 btl Barbera $19.20 btl & 6 btl Noceto SG current vintage $13.50 btl ,Contact,Note
7426,2016-02-17T08:56:06,Added by Kristin Crocker,CustomAlways - ShipTemp - Sign Some Bottles /ContactAlwaysSpring - always looking for a deal Suzy to contact with special - per SG normal 6 pack and same deal as everyone else,Contact,Note
3794,2015-08-14T13:19:33,Added by Kristin Crocker,IW have their own commercial wine label  per SG,Contact,Note
1691,2015-11-10T11:06:31,Added by Kristin Crocker,CustomFrivolo2015 - 4 cases this year only normally Always 2 cases Frivolo every year,Contact,Note
3011,2015-10-21T14:02:34,Added by Kristin Crocker,CustomAlways gets Spring BN 6 pack not Fall case Qualifies for 15% discount year-round,Contact,Note
3089,2015-10-21T14:01:14,Added by Kristin Crocker,CustomAlways gets Spring BN 6 pack not Fall case  Qualifies for 15% discount year-round,Contact,Note
1125,2016-02-09T11:03:58,Added by Kristin Crocker,CustomAlwaysSpring  - Spring 2016 wants Option #1 double + Option #3 12 Noceto case + $20 ship - email customer to find out what jumbo option they want,Contact,Note
1684,2016-02-22T11:24:14,Added by Kristin Crocker,CustomSpring2016- Option #2 Vintage pack - CustomAlwaysSpring - email customer to find out what jumbo option they want ,Contact,Note
7635,2016-02-15T15:51:04,Added by Kristin Crocker,CustomAlwaysSpring - replace Barbera with OGP Zin,Contact,Note
12734,2016-02-15T16:02:11,Added by Kristin Crocker,GiftMembership - From John Moalli for Daniel Moalli (Amador Shipping),Contact,Note
2613,2016-03-31T11:00:29,Added by Kristin Crocker,GiftMembership - SHCharge - IW - ShipTemp -  From Richard Corles to Ignatius Graffeo;  Since membership is set up under Iggie's name notify Richard of upcoming charge (richard@orangewoodwines.com); IW Discount on club orders only (those paid by Richard),Contact,Note
19234,2016-01-12T10:22:50,Added by Kristin Crocker,CustomAlwaysFall - 1/2 Sangiovese & 1/2 Riserva,Contact,Note
7743,2016-02-15T16:07:42,Added by Kristin Crocker,SHAlways - pick up fall club case ship spring 6 pack Amador Shipping,Contact,Note
6780,2016-02-17T10:49:46,Added by Kristin Crocker,SHChargeSpring2016 - DO NOT CHARGE - confirm with Suzy if trade per 1-27-16 email received from Jeanne,Contact,Note
3444,2015-12-16T11:06:02,Added by Kristin Crocker,SHAlways - Confirm address for billing and shipping before charge - confirm when customer available to receive wine trouble with 2015 shipment. see customer notes,Contact,Note
2522,2016-02-15T16:17:30,Added by Anamieke Kegge,SHShipFallAlways - ShipTemp - Always ship fall club shipment in November or later pending confirmation from member,Contact,Note
1583,2016-02-12T14:09:02,Added by Kristin Crocker,CustomAlwaysFall  - check if wants same as 2015 6 Noceto 3 zin 3 barbera,Contact,Note
10827,2016-02-05T11:05:13,Added by Kristin Crocker,ShipDateSpring2016 - ship 3-9-16,Contact,Note
2897,2016-02-19T13:22:14,Added by Kristin Crocker,CustomSpring2016 - option #1 double and two Option #2 Vintage + $10 ship (my mistake didn't know $5 per upgrade thought per case I need to honor,Contact,Note
3515,2015-11-30T14:17:26,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
19135,2015-10-30T13:38:03,Added by Kristin Crocker,ShipTemp,Contact,Note
2127,2015-11-17T13:41:53,Added by Kristin Crocker,CustomFrivolo2015 - add 1 case 2013 Noceto 162 club price,Contact,Note
1813,2015-11-30T14:14:06,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
1251,2015-11-30T14:12:37,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
2780,2015-11-30T14:16:28,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
3669,2015-11-13T09:11:36,Added by Kristin Crocker,CustomFrivoloAlways- 2 cases every year,Contact,Note
12583,2015-11-23T09:20:30,Added by Kristin Crocker,CustomFrivolo2015 - jug 3 pack w/shipping $60,Contact,Note
2635,2015-12-04T08:11:56,Added by Kristin Crocker,CustomSpring2016 - rec email on 11-16-15: SEND 6 375s ON US IN SPRING 2016 - Lately we have been losing quite a few of our half bottles from 2011; I would say there've been at least 6 out of the two cases that we got earlier. We don't expect them to last like the regular bottles but these were corked pretty severely. Our 750's in 2011 are still drinking quite fine however: it just seems to be the halves that were affected. ,Contact,Note
3653,2015-11-30T14:16:07,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
11912,2015-11-30T14:15:22,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
3480,2015-11-30T14:14:27,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
17932,2015-11-30T14:15:03,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
14468,2015-11-30T14:16:58,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
2791,2016-02-23T09:53:54,Added by Kristin Crocker,ShipDateSpring 2016 - SHShipSpring2016 - Ship on March 9th - ship order this time only - switch back to pick up after spring club shipment,Contact,Note
18228,2015-08-13T14:15:08,Added by Kristin Crocker,CustomAlwaysFall - wants case of Rosso instead of Normale,Contact,Note
12342,2015-08-14T09:35:29,Added by Suzy Gullett,GiftMembership  membership for Diane and Robert Schreiner by parents (Bob and Beth Schreiner). Originally as an anniversary gift.,Contact,Note
2771,2016-02-12T14:16:49,Added by Suzy Gullett,CustomAlwaysFall - Rosso in the fall instead of SG,Contact,Note
15178,2016-02-12T14:19:39,Added by Suzy Gullett,CustomAlwaysSpring - Case Riserva each spring (in place of 6-pack),Contact,Note
3179,2016-02-15T16:12:15,Added by Suzy Gullett,SHShipAlways - ShipTemp  - Get AL ABC Authorization for each shipment,Contact,Note
3422,2015-08-13T13:12:55,Added by Suzy Gullett,SHShipAlways Set up as pickup customer since they move around a lot -- contact for current ship address yearly.,Contact,Note
3189,2015-10-21T13:57:17,Added by Suzy Gullett,SHShipAlways unless hear otherwise ship to CA   (check ship address (CA or OR),Contact,Note
16327,2016-02-15T15:52:13,Added by Suzy Gullett,CustomAlwaysSpring - replace Barbera with OGP Zin,Contact,Note
2045,2015-08-14T09:32:06,Added by Suzy Gullett,Giftmembership (from Gail & Art to Kristi & John); ShipDateAlways: Since this is a gift make sure recipient will be home to receive,Contact,Note
2713,2016-02-15T16:12:48,Added by Suzy Gullett,SHShipAlways - EMAIL Len upon shipment w/ ship date and reminder to pick up at UPS Customer Center,Contact,Note
13921,2016-02-12T14:14:09,Added by Suzy Gullett,CustomAlwaysFall - ShipTemp - Riserva instead of SG,Contact,Note
15111,2016-02-15T16:08:09,Added by Suzy Gullett,SHCharge - Will probably have to process payment on manual swipe (Czech card),Contact,Note
1774,2016-02-15T15:52:52,Added by Suzy Gullett,CustomFallAlways - Riserva in place of SG,Contact,Note
1967,2015-10-21T14:05:16,Added by Suzy Gullett,SHAlways:  Verify gate code (it may change from time to time),Contact,Note
11317,2015-12-18T11:12:45,Added by Suzy Gullett,PoP - create custom order that will be pending since no card on file (use fake cc) request check payment if longer than 1 week from release mail invoice,Contact,Note
3313,2015-08-11T13:18:04,Added by Suzy Gullett,CustomAlways - sign some bottles when possible -- uses lots for gifts,Contact,Note
19335,2016-02-17T10:39:41,Added by Suzy Gullett,CustomAlways - Spring 6-pack + 6 LSBB...Fall 1/2 case each Riserva and OGP Zin,Contact,Note
11199,2016-02-19T13:10:43,Added by Suzy Gullett,CustomSpring2016 - Option #1 double + case with 2 of each block ($22.49 each) + 2 OGP ($26.39 each) + 2 LSBB ($22.39 each),Contact,Note
14828,2016-02-19T13:20:18,Added by Suzy Gullett,CustomSpring2016 - Option #1 Double + $5 ship,Contact,Note
3750,2015-11-30T08:03:35,Added by Suzy Gullett,CustomFrivolo2015 -  add 1/2-case 2015 Frivolo,Contact,Note
1679,2016-02-17T14:11:40,Added by Suzy Gullett,CustomSpring2016 - add 1 bottle each '12 BB and '12 OGP +$3 ship pack in 9 pk laydown,Contact,Note
19451,2016-02-19T13:19:00,Added by Suzy Gullett,CustomSpring2016 - Option #2 Vintage + $5 ship,Contact,Note
14175,2016-02-19T13:19:40,Added by Suzy Gullett,CustomSpring2016 - Option #3 2012 Noceto + $5 ship,Contact,Note
18961,2016-02-15T11:22:58,Added by Suzy Gullett,CustomSpring2016 - wants 2nd bottle MM and DO in place of HS and Misto - combine with order #55974 (Presidents' Day 6-pack),Contact,Note
17220,2015-12-26T11:44:48,Added by Suzy Gullett,CUSTOM2015 Charge 1-1-2016  [later changed to 12-26-15 she will P/U today -- should have already been processed with fake cc but wasn't],Contact,Note
9039,2016-02-23T16:40:54,Added by Suzy Gullett,CustomSpring2016 - option #2 (Vintage Mystery),Contact,Note
3040,2016-02-18T15:36:52,Added by Suzy Gullett,SHChargeSpring2016 - ShipDateSpring2016 - ship on or after March 14 - apply $15 NUTCLUBFORLIFE credit to club order,Contact,Note
2817,2014-08-25T15:55:23,Added by Suzy Gullett,Retained membership for 4 years since husband died but can't drink this much wine; NI at this time in vacation or LN option,Contact,Note
20093,2016-05-31T12:56:20,Added by Suzy Gullett,ShipTempSummerFallAlways SHShipFallAlways - Ship Summer and Fall together end-October (when cool),Contact,Note
2271,2016-02-17T15:33:56,Added by Suzy Gullett,CustomSpring2016 - add 6 2013 MM and option #3 (+$10 shipping),Contact,Note
2848,2016-02-22T11:37:09,Added by Kristin Crocker,CustomSpring2016 - Option #1 Double + Option #2 Vintage + Option #3 2012 Noceto +$15 ship,Contact,Note
2988,2016-02-24T23:08:03,Added by Suzy Gullett,PoPAlwaysSpring - SHCharge - CustomAlwaysSpring - Spring 2016 wants 6 2012 Riserva 15% disc create invoice with dummy cc (then why do you have updated cc info on file?) and email copy of invoice- (wants to pick his favorite 6 wines),Contact,Note
11798,2015-01-17T22:57:16,Added by Suzy Gullett,11/2013 Has lots of Frivolo remaining -- will come in to try other wines -- may customize or join different club -- put on vacation in meantime; 1/2015 FF cancelled by office -- didn't take 2013 or 2014 Frivolo,Contact,Note
14319,2013-11-06T17:14:08,Added by Suzy Gullett,Charles Blach will pick up,Contact,Note
3499,2013-12-08T10:58:55,Added by Suzy Gullett,Theresa decided to go on vacation for 2013 release rather than cancel membership,Contact,Note
3565,2014-12-11T22:28:18,Added by Suzy Gullett,12/19/13 Love the wine but can't afford anymore (due to govt. cuts); 12/11/14 had to cancel again (somehow his membership mysteriously reactivated) advised him to refuse the wine or keep it -- his choice will refund him in full,Contact,Note
9589,2013-12-05T14:37:40,Added by Suzy Gullett,On hold for the year -- moving w/ unexpected financial obligations,Contact,Note
7974,2014-08-25T15:46:38,Added by Suzy Gullett,3/2014 wife called he has to cancel because they have their hands full dealing with his melanoma hope to rejoin -- love our wines (Ship each year first week November or after); 8/2014 Mark passed away,Contact,Note
2632,2016-02-25T12:20:11,Added by Suzy Gullett,GiftMembership - SHCharge - gift from Suzy and Jim to Randy and Mary; Always no charge,Contact,Note
7216,2015-01-17T22:37:52,Added by Suzy Gullett,BN cancelled by office after missing spring & fall 2014,Contact,Note
17820,2016-02-23T22:03:58,Added by Kristin Crocker,CustomSpring2016 - Option #1 and Option #3 + $10 ship,Contact,Note
16395,2015-11-29T19:15:41,Added by Kristin Crocker,Gift membership by Joseph Loeffler (11-29-15 membership assumed by Jill),Contact,Note
1881,2016-02-24T22:56:34,Added by Kristin Crocker,SHChargeSpring2016 - SHShipSpring2016 - CustomSpring2016 - Charge Feb 29th - ship Feb 29th - add option #1 double + option #3 case 12 Noceto $162 + $10 ship,Contact,Note
2801,2016-02-23T22:06:54,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage + Alaska shipping ($68 for the 6-pack + $25 a $10 savings for the additional 6 bottles),Contact,Note
11974,2016-02-25T12:17:29,Added by Kristin Crocker,IW (IW discount Mastroserio winery and owns own vinyard Viaromano),Contact,Note
2353,2016-02-25T12:23:15,Added by Kristin Crocker,SHChargeSpring2016 - SHShipSpring2016 - Charge and Ship on Friday March 11 per Melissa,Contact,Note
2925,2015-01-10T23:17:13,Added by Kristin Crocker,received letter that lost cabin in the Sand Fire and needs to cancel club. He will rebuild someday and rejoin at the time; Reactivated 11-30-14,Contact,Note
1590,2016-02-25T12:18:36,Added by Kristin Crocker,GiftMembership - From Ruth Caldwell for Pat Bottaro,Contact,Note
2632,2016-02-25T12:19:20,Added by Kristin Crocker,GiftMembership - CustomAlwaysSpring - SHChargeAlways - gift from Suzy and Jim to Randy and Mary; Spring: double 6-pack; Always at no charge,Contact,Note
